order_id,order_date,ship_date,customer_id,product_id,quantity,sales,profit
CA-2015-149587,1/31/2015,2/5/2015,KB-16315,OFF-PA-10003177,2,12.96,6.2208
US-2017-109484,11/6/2017,11/12/2017,RB-19705,OFF-BI-10004738,1,5.682,-3.788
CA-2017-161018,11/9/2017,11/11/2017,PN-18775,FUR-FU-10000629,7,96.53,40.5426
CA-2017-157833,6/17/2017,6/20/2017,KD-16345,OFF-BI-10001721,3,51.312,17.9592
CA-2016-149223,9/6/2016,9/11/2016,ER-13855,OFF-AP-10000358,6,77.88,22.5852
CA-2016-158568,8/29/2016,9/2/2016,RB-19465,OFF-PA-10003256,7,64.624,22.6184
CA-2016-129903,12/1/2016,12/4/2016,GZ-14470,OFF-PA-10004040,4,23.92,11.7208
US-2015-156867,11/13/2015,11/17/2015,LC-16870,TEC-AC-10001552,6,238.896,-26.8758
CA-2017-119004,11/23/2017,11/28/2017,JM-15250,TEC-AC-10003499,8,74.112,17.6016
CA-2015-129476,10/15/2015,10/20/2015,PA-19060,TEC-AC-10000844,5,339.96,67.992
CA-2017-146780,12/25/2017,12/30/2017,CV-12805,FUR-FU-10001934,2,41.96,10.9096
CA-2016-128867,11/3/2016,11/10/2016,CL-12565,OFF-AR-10000380,2,75.96,22.788
CA-2014-115259,8/25/2014,8/27/2014,RC-19960,OFF-FA-10000621,14,40.096,14.5348
CA-2015-110457,3/2/2015,3/6/2015,DK-13090,FUR-TA-10001768,3,787.53,165.3813
US-2015-136476,4/5/2015,4/10/2015,GG-14650,OFF-BI-10003650,1,157.794,-115.7156
CA-2016-103730,6/12/2016,6/15/2016,SC-20725,FUR-FU-10002157,3,47.04,18.3456
US-2014-152030,12/26/2014,12/28/2014,AD-10180,FUR-CH-10004063,3,600.558,-8.5794
US-2014-134614,9/20/2014,9/25/2014,PF-19165,FUR-TA-10004534,6,617.7,-407.682
US-2017-107272,11/5/2017,11/12/2017,TS-21610,OFF-BI-10003274,2,2.388,-1.8308
US-2016-125969,11/6/2016,11/10/2016,LS-16975,FUR-CH-10001146,2,81.424,-9.1602
US-2017-164147,2/2/2017,2/5/2017,DW-13585,TEC-PH-10002293,5,59.97,-11.994
CA-2016-145583,10/13/2016,10/19/2016,LC-16885,OFF-PA-10001804,3,20.04,9.6192
CA-2016-110366,9/5/2016,9/7/2016,JD-15895,FUR-FU-10004848,2,82.8,10.35
CA-2017-106180,9/18/2017,9/23/2017,SH-19975,OFF-AR-10000940,3,8.82,2.3814
CA-2017-155376,12/22/2017,12/27/2017,SG-20080,OFF-AP-10001058,3,839.43,218.2518
CA-2015-110744,9/7/2015,9/12/2015,HA-14920,OFF-ST-10003656,7,671.93,20.1579
CA-2014-110072,10/22/2014,10/28/2014,MG-17680,FUR-FU-10000521,4,93.888,12.9096
CA-2016-114489,12/5/2016,12/9/2016,JE-16165,TEC-PH-10000215,11,384.45,103.8015
CA-2016-158834,3/13/2016,3/16/2016,TW-21025,OFF-AP-10000326,5,157.92,17.766
CA-2015-124919,5/31/2015,6/2/2015,SP-20650,OFF-PA-10001950,7,58.38,26.271
CA-2015-118948,5/28/2015,6/3/2015,NK-18490,OFF-AR-10001547,3,6.63,1.7901
CA-2014-104269,3/1/2014,3/6/2014,DB-13060,FUR-CH-10004063,2,457.568,51.4764
CA-2016-114104,11/20/2016,11/24/2016,NP-18670,OFF-LA-10002475,2,14.62,6.8714
CA-2016-162733,5/11/2016,5/12/2016,TT-21070,OFF-PA-10002751,1,5.98,2.691
CA-2015-119697,12/28/2015,12/31/2015,EM-13960,TEC-AC-10003657,2,54.384,1.3596
CA-2016-154508,11/16/2016,11/20/2016,RD-19900,OFF-EN-10001990,5,28.4,13.348
CA-2016-113817,11/7/2016,11/11/2016,MJ-17740,OFF-BI-10004002,2,27.68,9.688
CA-2014-139892,9/8/2014,9/12/2014,BM-11140,OFF-AR-10004441,3,9.936,2.7324
CA-2014-118962,8/5/2014,8/9/2014,CS-12130,OFF-PA-10000659,3,20.94,9.8418
US-2014-100853,9/14/2014,9/19/2014,JB-15400,OFF-AP-10000891,2,52.448,-131.12
US-2017-152366,4/21/2017,4/25/2017,SJ-20500,OFF-AP-10002684,4,97.264,-243.16
US-2015-101511,11/21/2015,11/23/2015,JE-15745,FUR-CH-10004698,7,396.802,-11.3372
CA-2015-137225,12/15/2015,12/19/2015,JK-15640,OFF-AR-10001940,1,3.28,1.4104
CA-2014-166191,12/5/2014,12/9/2014,DK-13150,OFF-ST-10003455,2,24.816,1.8612
CA-2014-158274,11/19/2014,11/24/2014,RM-19675,TEC-PH-10003273,4,503.96,131.0296
CA-2016-105018,11/28/2016,12/2/2016,SK-19990,OFF-BI-10001890,2,7.16,3.4368
CA-2014-123260,8/26/2014,8/30/2014,FM-14290,TEC-AC-10002323,8,176.8,22.984
CA-2016-157000,7/16/2016,7/22/2016,AM-10360,OFF-ST-10001328,3,37.224,3.7224
CA-2015-102281,10/12/2015,10/14/2015,MP-17470,FUR-BO-10002613,4,899.136,112.392
CA-2015-131457,10/31/2015,11/6/2015,MZ-17515,OFF-EN-10001509,7,14.28,6.7116
CA-2014-140004,3/21/2014,3/25/2014,CB-12025,OFF-AR-10004685,2,7.408,1.2038
CA-2017-107720,11/6/2017,11/13/2017,VM-21685,OFF-ST-10001414,3,46.26,12.0276
US-2017-124303,7/6/2017,7/13/2017,FH-14365,OFF-BI-10000343,2,2.946,-2.2586
CA-2017-105074,6/24/2017,6/29/2017,MB-17305,OFF-PA-10002666,3,21.744,6.795
CA-2014-133690,8/3/2014,8/5/2014,BS-11755,FUR-TA-10004289,2,218.75,-161.875
US-2017-116701,12/17/2017,12/21/2017,LC-17140,OFF-AP-10003217,2,66.284,-178.9668
CA-2017-126382,6/3/2017,6/7/2017,HK-14890,FUR-FU-10002960,7,35.168,9.6712
CA-2017-108329,12/9/2017,12/14/2017,LE-16810,TEC-PH-10001918,4,444.768,44.4768
CA-2017-135860,12/1/2017,12/7/2017,JH-15985,OFF-ST-10000642,4,83.92,5.8744
CA-2015-101007,2/9/2015,2/13/2015,MS-17980,TEC-AC-10001266,2,20.8,6.5
CA-2015-146262,1/2/2015,1/9/2015,VW-21775,OFF-LA-10004544,2,23.68,8.88
CA-2016-130162,10/28/2016,11/1/2016,JH-15910,OFF-ST-10001328,6,93.06,26.0568
CA-2015-169397,12/24/2015,12/27/2015,JB-15925,OFF-FA-10000585,2,5.584,1.8148
CA-2015-163055,8/9/2015,8/16/2015,DS-13180,OFF-AR-10001026,1,2.2,0.968
US-2015-145436,2/28/2015,3/4/2015,VD-21670,FUR-CH-10004860,2,161.568,-28.2744
US-2014-156216,9/13/2014,9/17/2014,EA-14035,OFF-BI-10001679,7,18.648,-12.432
US-2017-100930,4/7/2017,4/12/2017,CS-12400,FUR-TA-10001705,2,233.86,-102.048
CA-2017-160514,11/12/2017,11/16/2017,DB-13120,OFF-PA-10002479,2,10.56,4.752
CA-2016-157749,6/4/2016,6/9/2016,KL-16645,OFF-PA-10003349,5,25.92,9.396
CA-2014-131926,6/1/2014,6/6/2014,DW-13480,FUR-CH-10004063,7,2001.86,580.5394
CA-2016-154739,12/10/2016,12/15/2016,LH-17155,FUR-CH-10002965,2,321.568,28.1372
CA-2016-145625,9/11/2016,9/17/2016,KC-16540,OFF-PA-10004569,1,7.61,3.5767
CA-2016-146941,12/10/2016,12/13/2016,DL-13315,OFF-ST-10001228,6,80.58,22.5624
US-2015-159982,11/28/2015,12/4/2015,DR-12880,FUR-FU-10002505,9,12.132,-8.4924
CA-2017-163139,12/1/2017,12/3/2017,CC-12670,TEC-AC-10000290,3,20.37,6.9258
US-2017-155299,6/8/2017,6/12/2017,Dl-13600,OFF-AP-10002203,2,1.624,-4.466
US-2014-106992,9/19/2014,9/21/2014,SB-20290,TEC-MA-10000822,3,3059.982,-509.997
CA-2016-125318,6/6/2016,6/13/2016,RC-19825,TEC-PH-10001433,4,328.224,28.7196
CA-2015-155040,11/10/2015,11/15/2015,AH-10210,TEC-AC-10004469,2,79.9,35.156
CA-2017-136826,6/16/2017,6/20/2017,CB-12535,OFF-AR-10003602,3,14.016,4.7304
CA-2016-111010,1/22/2016,1/28/2016,PG-18895,OFF-FA-10003472,6,7.56,0.3024
US-2017-145366,12/9/2017,12/13/2017,CA-12310,OFF-ST-10004180,1,37.208,-7.4416
CA-2017-163979,12/28/2017,1/2/2018,KH-16690,OFF-ST-10003208,4,725.84,210.4936
CA-2015-155334,7/30/2015,7/31/2015,HA-14920,TEC-AC-10003628,7,209.93,92.3692
CA-2017-118136,9/16/2017,9/17/2017,BB-10990,OFF-PA-10002615,2,8.82,4.0572
CA-2017-132976,10/13/2017,10/17/2017,AG-10495,OFF-PA-10000673,2,11.648,4.0768
US-2015-161991,9/26/2015,9/28/2015,SC-20725,OFF-BI-10004967,5,2.08,-3.432
CA-2015-130890,11/2/2015,11/6/2015,JO-15280,FUR-TA-10002903,5,1038.84,51.942
CA-2015-130883,9/26/2015,10/2/2015,TB-21520,OFF-PA-10000474,5,141.76,47.844
CA-2016-112697,12/18/2016,12/20/2016,AH-10195,OFF-BI-10000778,7,254.058,-169.372
CA-2016-110772,11/20/2016,11/24/2016,NZ-18565,OFF-FA-10002983,7,19.096,6.6836
CA-2014-111451,12/26/2014,12/28/2014,KL-16555,FUR-FU-10004091,8,300.416,78.8592
CA-2016-142545,10/28/2016,11/3/2016,JD-15895,OFF-PA-10002105,5,32.4,15.552
US-2017-152380,11/19/2017,11/23/2017,JH-15910,FUR-TA-10002533,3,219.075,-131.445
CA-2015-144253,5/4/2015,5/9/2015,AS-10225,FUR-FU-10002671,2,26.8,12.864
CA-2014-130960,12/30/2014,1/4/2015,KB-16600,OFF-AR-10003651,3,9.84,2.8536
CA-2014-111003,6/1/2014,6/6/2014,CR-12625,OFF-BI-10001072,3,45.48,20.9208
CA-2017-126774,4/15/2017,4/17/2017,SH-20395,OFF-AR-10002804,1,4.89,2.0049
CA-2016-142902,9/12/2016,9/14/2016,BP-11185,FUR-FU-10001918,4,15.136,3.5948
CA-2014-120887,9/27/2014,10/3/2014,TS-21205,FUR-FU-10001588,3,87.54,37.6422
CA-2014-167850,8/9/2014,8/16/2014,AG-10525,TEC-PH-10002398,2,178.384,22.298
CA-2014-164259,12/28/2014,12/30/2014,SP-20860,OFF-AR-10003373,4,99.136,8.6744
CA-2014-164973,11/4/2014,11/9/2014,NM-18445,FUR-CH-10002602,1,135.882,24.1568
CA-2014-156601,9/19/2014,9/24/2014,FA-14230,OFF-FA-10000624,2,7.16,3.58
CA-2016-162138,4/23/2016,4/27/2016,GK-14620,OFF-BI-10004593,6,251.52,81.744
CA-2017-153339,11/3/2017,11/5/2017,DJ-13510,FUR-FU-10001967,1,15.992,0.9995
US-2016-141544,8/30/2016,9/1/2016,PO-18850,TEC-PH-10003645,3,290.898,-67.8762
US-2016-150147,4/25/2016,4/29/2016,JL-15850,TEC-PH-10004614,2,82.8,-20.7
CA-2015-137946,9/1/2015,9/4/2015,DB-13615,OFF-BI-10001922,1,4.752,1.6038
CA-2014-129924,7/12/2014,7/17/2014,AC-10420,OFF-BI-10003314,2,7.712,2.7956
CA-2015-128167,6/22/2015,6/26/2015,KL-16645,OFF-FA-10000490,4,4.96,2.3312
CA-2014-122336,4/13/2014,4/17/2014,JD-15895,OFF-AR-10000122,4,17.856,1.116
US-2015-120712,12/20/2015,12/24/2015,CS-12130,OFF-ST-10000107,4,88.8,-2.22
CA-2017-169901,6/15/2017,6/19/2017,CC-12550,TEC-PH-10002293,3,47.976,4.7976
CA-2017-134306,7/8/2017,7/12/2017,TD-20995,OFF-AR-10004027,3,7.56,3.0996
CA-2016-129714,9/1/2016,9/3/2016,AB-10060,TEC-AC-10000290,1,6.79,2.3086
CA-2016-138520,4/8/2016,4/13/2016,JL-15505,FUR-BO-10002268,6,388.704,-4.8588
CA-2016-130001,4/23/2016,4/28/2016,HK-14890,OFF-PA-10002666,5,36.24,11.325
CA-2017-155698,3/8/2017,3/11/2017,VB-21745,OFF-AP-10001124,8,647.84,168.4384
CA-2017-144904,9/25/2017,10/1/2017,KW-16435,OFF-LA-10001158,2,20.7,9.936
CA-2014-123344,9/24/2014,9/29/2014,JD-16060,OFF-ST-10001713,4,211.96,8.4784
CA-2016-155516,10/21/2016,10/21/2016,MK-17905,OFF-BI-10002412,4,23.2,10.44
CA-2017-104745,5/29/2017,6/4/2017,GT-14755,OFF-PA-10002036,5,25.92,9.396
US-2014-119137,7/23/2014,7/27/2014,AG-10900,OFF-BI-10001982,5,8.16,-5.712
US-2016-134656,9/28/2016,10/1/2016,MM-18280,OFF-PA-10003039,4,99.136,30.98
US-2017-134481,8/27/2017,9/1/2017,AR-10405,FUR-TA-10004915,7,1488.424,-297.6848
CA-2015-130792,4/28/2015,5/5/2015,RA-19915,OFF-AP-10000696,3,8.652,-20.3322
CA-2016-134775,10/28/2016,10/29/2016,AS-10285,OFF-PA-10004734,7,50.96,25.48
CA-2015-125395,6/26/2015,6/29/2015,LA-16780,TEC-AC-10004708,2,41.9,8.799
US-2015-168935,11/27/2015,12/2/2015,DO-13435,FUR-TA-10000617,3,375.4575,-157.0095
CA-2015-122756,12/3/2015,12/7/2015,DK-13225,TEC-MA-10001681,4,482.34,-337.638
CA-2014-115973,11/24/2014,11/26/2014,NG-18430,OFF-AR-10004757,1,2.624,0.4264
CA-2017-101798,12/11/2017,12/15/2017,MV-18190,OFF-BI-10000050,4,23.36,7.884
US-2014-135972,9/21/2014,9/23/2014,JG-15115,TEC-PH-10003012,2,246.384,27.7182
US-2014-134971,6/7/2014,6/10/2014,BP-11095,OFF-BI-10003982,3,12.462,-20.5623
CA-2017-102946,6/30/2017,7/5/2017,VP-21730,OFF-BI-10004492,3,75.792,25.5798
CA-2017-165603,10/17/2017,10/19/2017,SS-20140,OFF-ST-10000798,2,49.96,9.4924
CA-2015-122259,10/31/2015,11/4/2015,HP-14815,OFF-SU-10002573,4,70.12,21.036
CA-2016-108987,9/8/2016,9/10/2016,AG-10675,OFF-ST-10001580,3,35.952,3.5952
CA-2014-113166,12/24/2014,12/26/2014,LF-17185,OFF-PA-10001947,2,9.568,3.4684
CA-2014-155208,4/16/2014,4/20/2014,SP-20650,OFF-AR-10003478,6,39.072,9.768
CA-2017-117933,12/24/2017,12/29/2017,RF-19840,OFF-AP-10004249,3,35.91,9.6957
CA-2017-117457,12/8/2017,12/12/2017,KH-16510,TEC-AC-10000158,5,179.95,37.7895
CA-2017-142636,11/3/2017,11/7/2017,KC-16675,OFF-PA-10000157,7,139.86,65.7342
CA-2017-122105,6/24/2017,6/28/2017,CJ-12010,OFF-AR-10004344,8,95.92,25.8984
CA-2016-148796,4/14/2016,4/18/2016,PB-19150,FUR-CH-10004886,5,383.8,38.38
CA-2017-154816,11/6/2017,11/10/2017,VB-21745,OFF-PA-10003845,1,5.78,2.8322
CA-2017-110478,3/4/2017,3/9/2017,SP-20860,OFF-AR-10001573,4,9.32,2.7028
CA-2014-142048,6/22/2014,6/25/2014,JE-15745,TEC-AC-10004114,6,196.752,56.5662
CA-2017-125388,10/19/2017,10/23/2017,MP-17965,FUR-FU-10004712,4,56.56,14.7056
CA-2017-155705,8/21/2017,8/23/2017,NF-18385,FUR-CH-10000015,4,866.4,225.264
CA-2017-149160,11/23/2017,11/26/2017,JM-15265,FUR-FU-10003347,2,28.4,11.076
CA-2014-101476,9/12/2014,9/13/2014,SD-20485,TEC-MA-10000029,1,69.99,30.0957
CA-2017-152275,10/1/2017,10/8/2017,KH-16630,OFF-AR-10000369,6,6.672,0.5004
US-2016-123750,4/15/2016,4/21/2016,RB-19795,OFF-BI-10004584,2,189.588,-145.3508
CA-2016-127369,6/6/2016,6/7/2016,DB-13060,OFF-ST-10003306,5,714.3,207.147
US-2014-150574,12/19/2014,12/25/2014,MK-18160,OFF-BI-10000773,2,4.812,-3.6892
CA-2016-147375,6/12/2016,6/14/2016,PO-19180,TEC-MA-10002937,3,1007.979,43.1991
CA-2017-130043,9/15/2017,9/19/2017,BB-11545,OFF-PA-10002230,8,31.872,11.5536
CA-2017-157252,1/20/2017,1/23/2017,CV-12805,FUR-CH-10003396,3,207.846,2.3094
CA-2016-115756,9/5/2016,9/7/2016,PK-19075,FUR-FU-10000246,1,12.22,3.666
CA-2017-154214,3/20/2017,3/25/2017,TB-21595,FUR-FU-10000206,1,2.91,1.3677
CA-2016-166674,4/1/2016,4/3/2016,RB-19360,OFF-AR-10000588,3,59.52,15.4752
CA-2017-147277,10/20/2017,10/24/2017,EB-13705,FUR-TA-10001539,2,284.364,-75.8304
CA-2016-100153,12/13/2016,12/17/2016,KH-16630,TEC-AC-10001772,4,63.88,24.9132
US-2014-110674,2/12/2014,2/18/2014,SC-20095,FUR-CH-10000225,2,129.568,-24.294
US-2016-157945,9/26/2016,10/1/2016,NF-18385,FUR-CH-10002331,3,747.558,-96.1146
CA-2015-109638,12/15/2015,12/22/2015,JH-15985,OFF-AP-10002472,4,103.92,36.372
CA-2016-109869,4/22/2016,4/29/2016,TN-21040,FUR-FU-10000023,5,23.56,7.068
US-2015-101399,1/17/2015,1/24/2015,JS-15940,FUR-FU-10002918,7,254.744,-312.0614
CA-2017-154907,3/31/2017,4/4/2017,DS-13180,FUR-BO-10002824,2,205.3328,-36.2352
US-2016-100419,12/16/2016,12/20/2016,CC-12670,OFF-BI-10002194,3,4.788,-7.9002
CA-2015-154144,12/20/2015,12/24/2015,MH-17785,OFF-PA-10004071,1,55.48,26.6304
CA-2014-144666,11/9/2014,11/11/2014,JP-15520,OFF-ST-10002743,3,340.92,3.4092
CA-2016-103891,7/12/2016,7/19/2016,KH-16690,TEC-PH-10000149,6,95.76,7.182
CA-2016-152632,10/27/2016,11/2/2016,JE-15475,FUR-FU-10002671,3,40.2,19.296
CA-2016-100790,6/26/2016,7/2/2016,JG-15805,OFF-AR-10003045,5,14.7,6.615
CA-2014-134677,10/6/2014,10/10/2014,XP-21865,TEC-AC-10001445,3,9.09,1.9089
CA-2014-127691,7/22/2014,7/27/2014,EM-14065,OFF-AR-10002053,2,5.96,1.6688
CA-2017-140963,6/10/2017,6/13/2017,MT-18070,OFF-LA-10003923,2,29.6,14.8
CA-2014-154627,10/29/2014,10/31/2014,SA-20830,TEC-PH-10001363,6,2735.952,341.994
CA-2014-133753,6/9/2014,6/13/2014,CW-11905,TEC-PH-10000376,1,7.992,0.5994
CA-2014-113362,9/14/2014,9/19/2014,AJ-10960,OFF-ST-10001809,5,449.15,8.983
CA-2016-169166,5/9/2016,5/14/2016,SS-20590,TEC-AC-10000991,2,93.98,13.1572
US-2016-120929,3/18/2016,3/21/2016,RO-19780,FUR-TA-10001857,3,189.882,-94.941
CA-2015-134782,12/27/2015,12/31/2015,MD-17350,OFF-EN-10001434,2,105.42,51.6558
CA-2016-126158,7/25/2016,7/31/2016,SC-20095,OFF-BI-10002498,8,119.616,40.3704
US-2016-105578,5/30/2016,6/4/2016,MY-17380,OFF-BI-10001670,2,22.62,-15.08
CA-2017-134978,11/12/2017,11/15/2017,EB-13705,OFF-BI-10003274,5,15.92,5.373
CA-2015-145352,3/16/2015,3/22/2015,CM-12385,OFF-AR-10001662,1,2.74,0.7398
CA-2017-135307,11/26/2017,11/27/2017,LS-17245,FUR-FU-10001290,3,126.3,40.416
CA-2016-106341,10/20/2016,10/23/2016,LF-17185,OFF-AR-10002053,3,7.152,0.7152
CA-2017-163405,12/21/2017,12/25/2017,BN-11515,OFF-AR-10003811,3,6.63,1.7901
CA-2017-127432,1/22/2017,1/27/2017,AD-10180,TEC-CO-10003236,5,2999.95,1379.977
CA-2015-157812,3/22/2015,3/26/2015,DB-13210,TEC-AC-10000171,1,18.392,5.2877
CA-2017-145142,1/23/2017,1/25/2017,MC-17605,FUR-TA-10001857,2,210.98,21.098
US-2016-139486,5/21/2016,5/23/2016,LH-17155,TEC-PH-10003555,3,55.176,-12.4146
CA-2015-158792,12/26/2015,1/2/2016,BD-11605,OFF-FA-10002815,5,22.2,10.434
CA-2017-113558,10/21/2017,10/26/2017,PH-18790,FUR-CH-10003379,3,683.952,42.747
US-2015-138303,9/3/2015,9/7/2015,MG-18145,OFF-ST-10004963,3,36.336,-7.2672
CA-2015-102848,11/7/2015,11/9/2015,KB-16240,FUR-CH-10000595,1,190.72,11.92
US-2017-129441,9/7/2017,9/11/2017,JC-15340,FUR-FU-10000448,3,47.94,2.397
CA-2016-168753,5/29/2016,6/1/2016,RL-19615,TEC-PH-10000984,5,979.95,274.386
CA-2016-126613,7/10/2016,7/16/2016,AA-10375,OFF-ST-10001325,2,16.768,1.4672
US-2017-122637,9/3/2017,9/8/2017,EP-13915,OFF-BI-10002429,7,42.616,-68.1856
CA-2015-147851,12/3/2015,12/8/2015,MP-17470,OFF-BI-10004528,4,10.752,3.36
CA-2015-134894,12/7/2015,12/11/2015,DK-12985,OFF-AP-10001271,3,152.94,41.2938
CA-2014-140795,2/1/2014,2/3/2014,BD-11500,TEC-AC-10001432,6,468.9,206.316
CA-2016-136924,7/14/2016,7/17/2016,ES-14080,TEC-PH-10002262,8,380.864,38.0864
US-2015-120161,12/18/2015,12/23/2015,LM-17065,OFF-ST-10001809,9,646.776,-145.5246
CA-2014-103849,5/11/2014,5/16/2014,PG-18895,TEC-AC-10001465,2,58.112,7.264
CA-2017-162929,11/19/2017,11/22/2017,AS-10135,OFF-BI-10000404,6,41.28,13.932
CA-2015-113173,11/15/2015,11/17/2015,DK-13225,OFF-ST-10000604,9,250.272,15.642
CA-2016-136406,4/15/2016,4/17/2016,BD-11320,FUR-CH-10002024,2,1121.568,0.0
CA-2017-112774,9/11/2017,9/12/2017,RC-19960,FUR-FU-10003039,1,34.504,6.0382
CA-2017-101945,11/24/2017,11/28/2017,GT-14710,OFF-FA-10004248,3,10.824,2.5707
CA-2017-100650,6/29/2017,7/3/2017,DK-13225,OFF-ST-10001780,2,1295.78,310.9872
CA-2014-155852,3/3/2014,3/7/2014,AJ-10945,OFF-AR-10003560,4,19.456,3.4048
CA-2016-113243,6/10/2016,6/15/2016,OT-18730,OFF-LA-10001297,2,20.7,9.936
CA-2017-118731,11/20/2017,11/22/2017,LP-17080,FUR-FU-10003347,3,42.6,16.614
CA-2014-145576,9/14/2014,9/18/2014,CA-12775,OFF-AP-10003914,5,13.0,1.3
CA-2015-130736,12/7/2015,12/9/2015,JF-15490,OFF-FA-10003467,2,3.96,0.0
CA-2017-137099,12/7/2017,12/10/2017,FP-14320,TEC-PH-10002496,3,374.376,46.797
CA-2017-156951,10/1/2017,10/8/2017,EB-13840,OFF-PA-10004530,8,91.84,45.0016
CA-2017-164826,12/28/2017,1/4/2018,JF-15415,OFF-LA-10001297,7,72.45,34.776
CA-2016-127250,11/3/2016,11/7/2016,SF-20200,OFF-AR-10003394,3,8.82,2.3814
CA-2015-149713,9/18/2015,9/22/2015,TG-21640,OFF-PA-10004530,14,160.72,78.7528
CA-2017-118640,7/20/2017,7/26/2017,CS-11950,OFF-ST-10002974,2,69.712,8.714
CA-2015-132906,9/10/2015,9/14/2015,CC-12145,OFF-SU-10004498,4,51.52,1.5456
CA-2017-145233,12/1/2017,12/5/2017,DV-13465,TEC-PH-10004977,3,470.376,52.9173
